IDimpacto_humano;Deaths;Injured;Missing
35501;0;0;0
35601;0;0;0
35701;0;0;0
35801;0;0;0
35901;0;0;0
36001;0;0;0
36101;0;0;0
36201;0;0;0
36301;0;0;0
36401;0;0;0
36501;0;0;0
36601;0;0;0
36701;0;10;0
36801;0;0;0
36901;0;0;0
37001;0;0;0
37101;0;0;0
37201;0;0;0
37301;0;0;0
37401;0;0;0
37501;0;0;0
37601;0;0;0
37701;0;0;0
37801;0;0;0
37901;0;0;0
38001;0;0;0
38101;0;0;0
38201;10;0;20
38301;0;0;0
38401;0;0;0
38501;0;0;0
38601;0;0;0
38701;0;0;0
38801;0;0;0
38901;0;0;0
39001;0;0;0
39101;0;0;0
39201;310;0;0
39301;0;0;0
39401;0;0;0
39501;0;0;0
39601;0;0;0
39701;0;0;0
39801;0;0;0
39901;0;0;0
40001;0;0;0
40101;0;0;0
40201;0;0;0
40301;10;0;0
40401;0;0;0
40501;0;0;0
40601;0;0;0
40701;20;0;0
40801;0;0;0
40901;0;0;0
41001;0;0;0
41101;0;0;0
41201;0;0;0
41301;0;0;0
41401;0;0;0
41501;0;0;0
41601;20;0;0
41701;0;0;0
41801;0;0;0
41901;0;20;0
42001;0;0;0
42101;0;0;0
42201;10;30;0
42301;0;0;0
42401;10;10;0
42501;0;0;0
42601;0;0;0
42701;0;0;0
42801;0;0;0
42901;0;0;0
43001;0;0;0
43101;0;0;0
43201;0;0;0
43301;10;30;0
43401;0;0;0
43501;0;0;0
43601;0;0;0
43701;0;0;0
43801;0;0;0
43901;0;0;0
44001;0;0;0
44101;0;0;0
44201;0;0;0
44301;0;0;0
44401;0;0;0
44501;0;0;0
44601;0;0;0
44701;0;0;0
44801;0;0;0
44901;0;0;0
45001;0;0;0
45101;0;0;0
45201;0;0;0
45301;0;0;0
45401;0;0;0
45501;0;0;0
45601;0;0;0
45701;0;0;0
45801;0;0;0
45901;0;0;0
46001;0;0;0
46101;0;0;0
46201;0;0;0
46301;0;0;0
46401;0;0;0
46501;0;0;0
46601;0;0;0
46701;0;0;0
46801;0;0;0
46901;0;0;0
47001;0;0;0
47101;0;0;0
47201;0;0;0
47301;0;0;0
47401;20;0;0
47501;0;0;0
47601;0;0;0
47701;0;0;0
47801;0;0;0
47901;0;0;0
48001;0;0;0
48101;0;0;0
48201;0;0;0
48301;0;40;0
48401;0;0;0
48501;10;10;0
48601;0;0;0
48701;0;0;0
48801;0;0;0
48901;0;0;0
49001;0;0;0
49101;930;620;110
49201;0;0;0
49301;0;0;0
49401;0;0;0
49501;0;0;0
49601;0;0;0
49701;0;0;0
49801;0;0;0
49901;0;0;0
50001;0;0;0
50101;0;0;0
50201;0;0;0
50301;0;0;0
50401;0;0;0
50501;0;0;0
50601;0;0;0
50701;0;0;0
50801;0;0;0
50901;0;0;0
51001;0;0;0
51101;0;0;0
51201;0;0;0
51301;0;10;0
51401;0;0;0
51501;0;0;0
51601;0;0;0
51701;0;0;0
51801;0;0;0
51901;0;0;0
52001;0;0;0
52101;0;0;0
52201;0;0;0
52301;0;0;0
52401;0;0;0
52501;0;0;0
52601;0;0;0
52701;10;10;0
52801;0;0;0
52901;0;0;0
53001;0;0;0
53101;0;0;0
53201;0;0;0
53301;0;0;0
53401;0;0;0
53501;0;0;0
53601;0;0;0
53701;0;0;0
53801;0;0;0
53901;0;0;0
54001;0;0;0
54101;0;0;0
54201;0;0;0
54301;0;0;0
54401;0;0;0
54501;0;0;0
54601;0;0;0
54701;0;0;0
54801;0;0;0
54901;10;160;0
55001;0;0;0
55101;0;0;0
55201;0;0;0
55301;10;20;0
55401;0;0;0
55501;0;0;0
55601;0;0;0
55701;0;0;0
55801;0;0;0
55901;0;0;0
56001;0;0;0
56101;0;0;0
56201;0;0;0
56301;0;0;0
56401;0;0;0
56501;0;0;0
56601;0;0;0
56701;0;0;0
56801;0;30;0
56901;0;0;0
57001;0;0;0
57101;0;0;0
57201;20;0;0
57301;0;0;0
57401;0;0;0
57501;0;0;0
57601;0;0;0
57701;0;0;0
57801;0;0;0
57901;10;0;0
58001;0;0;0
58101;0;0;0
58201;10;0;0
58301;0;0;0
58401;0;0;0
58501;0;0;0
58601;10;30;0
58701;0;0;0
58801;0;0;0
58901;0;0;0
59001;0;0;0
59101;0;0;0
59201;0;0;0
59301;0;0;0
59401;0;0;0
59501;0;0;0
59601;0;0;0
59701;0;0;0
59801;0;0;0
59901;0;0;0
60001;30;10;0
60101;0;0;0
60201;0;0;0
60301;0;0;0
60401;0;0;0
60501;0;0;0
60601;0;0;0
60701;0;0;0
60801;0;0;0
60901;0;0;0
61001;0;0;0
61101;0;0;0
61201;0;0;0
61301;0;0;0
61401;0;0;0
61501;0;0;0
61601;0;0;0
61701;0;0;0
61801;0;0;0
61901;0;0;0
62001;0;0;0
62101;0;0;0
62201;0;0;0
62301;0;0;0
62401;0;0;0
62501;0;0;0
62601;0;0;0
62701;0;0;0
62801;0;0;0
62901;0;0;0
63001;0;0;0
63101;0;0;0
63201;0;0;0
63301;0;0;0
63401;0;0;0
63501;0;0;0
63601;0;0;0
63701;0;0;0
63801;0;0;0
63901;0;0;0
64001;0;0;0
64101;0;0;0
64201;0;0;0
64301;0;100;0
64401;0;0;0
64501;0;60;0
64601;0;0;0
64701;0;0;0
64801;0;0;0
64901;0;50;0
65001;0;0;0
65101;0;0;0
65201;0;20;0
65301;0;0;0
65401;0;0;0
65501;0;0;0
65601;10;60;0
65701;0;0;0
65801;0;0;0
65901;20;0;0
66001;20;10;0
66101;0;0;0
66201;0;0;0
66301;20;10;0
66401;0;0;0
66501;0;0;0
66601;0;0;0
66701;10;30;0
66801;0;0;0
66901;120;0;0
67001;10;0;0
67101;0;0;0
67201;0;0;0
67301;0;0;0
67401;0;0;0
67501;0;0;0
67601;0;10;0
67701;0;0;0
67801;0;0;0
67901;0;0;0
68001;0;0;0
68101;0;0;0
68201;10;0;0
68301;0;0;0
68401;0;0;0
68501;0;0;0
68601;0;0;0
68701;0;0;0
68801;0;0;0
68901;0;0;0
69001;0;0;0
69101;0;0;0
69201;0;0;0
69301;0;0;0
69401;0;0;0
69501;0;0;0
69601;0;0;0
69701;0;0;0
69801;0;0;0
69901;0;0;0
70001;0;0;0
70101;30;0;0
70201;0;0;0
70301;0;0;0
70401;0;0;0
70501;0;0;0
70601;0;10;0
70701;0;0;0
70801;0;0;0
70901;0;20;0
71001;0;0;0
71101;0;0;0
71201;0;0;0
71301;0;0;0
71401;0;0;0
71501;0;0;0
71601;0;0;0
71701;0;0;0
71801;0;0;0
71901;0;0;0
72001;0;0;0
72101;0;0;0
72201;0;30;0
72301;0;10;0
72401;0;0;0
72501;0;0;0
72601;0;0;0
72701;0;0;0
72801;0;0;0
72901;10;0;0
73001;0;10;0
73101;0;0;0
73201;10;0;0
73301;0;10;0
73401;0;0;0
73501;0;0;0
73601;10;0;10
73701;10;10;0
73801;0;0;0
73901;0;0;0
74001;0;0;0
74101;0;0;0
74201;0;0;0
74301;0;0;0
74401;0;100;0
74501;20;0;0
74601;0;0;0
74701;0;0;0
74801;0;0;0
74901;0;0;0
75001;0;0;0
75101;0;0;0
75201;10;0;0
75301;0;0;0
75401;0;0;0
75501;0;0;0
75601;0;0;0
75701;0;0;0
75801;40;740;0
75901;0;0;0
76001;10;10;0
76101;0;0;0
76201;0;0;0
76301;0;0;0
76401;0;0;0
76501;0;0;0
76601;0;0;0
76701;0;0;0
76801;0;20;0
76901;0;0;0
77001;0;0;0
77101;0;0;0
77201;0;0;0
77301;0;0;0
77401;0;0;0
77501;20;20;0
77601;0;0;0
77701;0;0;0
77801;0;0;0
77901;0;0;0
78001;0;0;0
78101;0;0;0
78201;0;0;0
78301;0;0;0
78401;0;0;0
78501;20;0;0
78601;0;0;0
78701;0;40;0
78801;0;0;0
78901;0;0;0
79001;0;0;0
79101;0;0;0
79201;0;0;0
79301;0;0;0
79401;0;0;0
79501;0;0;0
79601;0;0;0
79701;0;10;0
79801;0;0;0
79901;0;0;0
80001;0;0;0
80101;10;0;10
80201;0;0;0
80301;0;0;0
80401;0;0;0
80501;0;0;0
80601;0;0;0
80701;10;320;0
80801;0;0;0
80901;0;0;0
81001;0;0;0
81101;0;410;0
81201;10;80;0
81301;0;0;20
81401;0;0;0
81501;0;0;0
81601;0;0;0
81701;0;0;0
81801;0;10;0
81901;0;0;0
