CÛdigo_DANE;Subregion;Municipio;Poblacion;Latitud;Longitud
5649;ORIENTE;SAN CARLOS;15811;6,193789659;-74,90732769
5652;ORIENTE;SAN FRANCISCO;5889;5,840093731;-74,98176334
5656;OCCIDENTE;SAN JER”NIMO;16017;6,438300409;-75,70310727
5658;NORTE;SAN JOS… DE LA MONTA—A;3765;6,823258913;-75,67770826
5659;URAB¡;SAN JUAN DE URAB¡;20950;8,707141583;-76,53248234
5660;ORIENTE;SAN LUIS;13123;6,024205956;-75,0076674
5664;NORTE;SAN PEDRO DE LOS MILAGROS;22885;6,458666308;-75,5624839
5665;URAB¡;SAN PEDRO DE URAB¡;32147;8,37915695;-76,31664233
5667;ORIENTE;SAN RAFAEL;15663;6,31074453;-74,99858652
5670;NORDESTE;SAN ROQUE;21597;6,466165211;-74,9450732
5674;ORIENTE;SAN VICENTE;22469;6,310387522;-75,32740163
5679;SUROESTE;SANTA B¡RBARA;27186;5,878984956;-75,58330371
5042;OCCIDENTE;SANTA F… DE ANTIOQUIA;27002;6,535711576;-75,90426658
5686;NORTE;SANTA ROSA DE OSOS;37869;6,675827825;-75,43814333
5690;NORDESTE;SANTO DOMINGO;12324;6,481044132;-75,14260097
5736;NORDESTE;SEGOVIA;39379;7,26692339;-74,62163926
5756;ORIENTE;SONS”N;36625;5,826388779;-74,83637622
5761;OCCIDENTE;SOPETR¡N;15512;6,520164552;-75,74580903
5790;BAJO CAUCA;TARAZ¡;27995;7,488875998;-75,40189438
5792;SUROESTE;TARSO;6231;5,871064557;-75,82871144
5809;SUROESTE;TITIRIBÕ;10719;6,058349971;-75,79966005
5819;NORTE;TOLEDO;5043;7,016397069;-75,71363382
5837;URAB¡;TURBO;130191;8,173851745;-76,5740377
5789;SUROESTE;T¡MESIS;16201;5,673758571;-75,70979974
5842;OCCIDENTE;URAMITA;6899;6,913916924;-76,13318514
5847;SUROESTE;URRAO;30876;6,33534134;-76,25906482
5854;NORTE;VALDIVIA;14102;7,265404213;-75,40094502
5856;SUROESTE;VALPARAÕSO;6472;5,651937802;-75,63083412
5858;NORDESTE;VEGACHÕ;12039;6,836535122;-74,7540302
5861;SUROESTE;VENECIA;11715;5,956576355;-75,77722423
5873;URAB¡;VIGÕA DEL FUERTE;9423;6,453351334;-76,69504802
5885;NORDESTE;YALÕ;7681;6,716870679;-74,75565002
5887;NORTE;YARUMAL;42678;6,9881309;-75,45439957
5890;NORDESTE;YOLOMB”;23501;6,64442786;-75,02990266
5893;MAGDALENA MEDIO;YOND”;20110;6,925159318;-74,15824041
5895;BAJO CAUCA;ZARAGOZA;25703;7,474004006;-74,85848326
