id_Historico_Desastre;Event;Municipio;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;Muertos;Heridos;Desaparecidos;IDimpacto_humano;Casas destruidas;Casas dañadas;Pérdidas económicas;With Deaths;With Injured;With Missing;With Houses Destroyed;With Victims;Tipo_desastre;idDetalleDesastre
500016;FLOOD;Andes;18/11/2016;OVERFLOW;Desbordamiento de la quebrada la Palestina causa de las lluv;UNGRD;1702;0;0;0;1701;0;20;0;0;0;0;0;0;Hidrológico;5000163
500017;FLOOD;Marinilla;15/11/2016;RAIN;;UNGRD;1802;0;0;0;1801;0;1250;0;0;0;0;0;0;Hidrológico;5000173
500018;FLOOD;Bello;8/11/2016;OTHER;Flujo de lodo de una arenera;UNGRD;1902;0;0;0;1901;120;190;0;0;0;0;10;0;Hidrológico;5000183
500019;FLOOD;Apartadó;8/11/2016;OVERFLOW;Desbordamiento del río Vijagua;UNGRD;2002;0;0;0;2001;0;0;0;0;0;0;0;0;Hidrológico;5000193
500020;FLOOD;Carepa;8/11/2016;OVERFLOW;"DESBORDAMIENTO DE LOS RÍOS: CAREPA; LEÓN; VIJAGUAL;";UNGRD;2102;0;0;0;2101;0;3000;0;0;0;0;0;0;Hidrológico;5000203
500021;LANDSLIDE;Santa Bárbara;4/11/2016;RAIN;;UNGRD;2202;0;0;0;2201;0;0;0;0;0;0;0;0;Geofísico;5000213
500022;FIRE;Bello;3/11/2016;UNKNOWN;Posible falla eléctrica;UNGRD;2302;0;0;0;2301;0;0;0;0;0;0;0;0;Técnico;5000223
500023;LANDSLIDE;Envigado;3/11/2016;UNKNOWN;;UNGRD;2402;0;0;0;2401;0;0;0;0;0;0;0;0;Geofísico;5000233
500024;FLOOD;Chigorodó;1/11/2016;OVERFLOW;"DESBORDAMIENTO DE LOS RÍOS LEÓN; GUAPA Y JURADO";UNGRD;2502;0;0;0;2501;0;0;0;0;0;0;0;0;Hidrológico;5000243
500025;LANDSLIDE;Copacabana;26/10/2016;RAIN;;UNGRD;2602;150;30;10;2601;0;0;0;10;10;10;0;0;Geofísico;5000253
500026;FIRE;Fredonia;22/10/2016;OTHER;Fuga de una pipeta de gas;UNGRD;2702;0;10;0;2701;10;0;0;0;10;0;10;10;Técnico;5000263
500027;FLOOD;Apartadó;21/10/2016;RAIN;;UNGRD;2802;0;0;0;2801;0;0;0;0;0;0;0;0;Hidrológico;5000273
500028;FLOOD;Murindó;18/10/2016;UNKNOWN;;UNGRD;2902;0;0;0;2901;0;0;0;0;0;0;0;0;Hidrológico;5000283
500029;FLOOD;Vigía del Fuerte;18/10/2016;OVERFLOW;Desbordamiento del río Murri;UNGRD;3002;0;0;0;3001;30;0;0;0;0;0;10;0;Hidrológico;5000293
500030;FLOOD;La Estrella;12/10/2016;RAIN;;UNGRD;3102;0;0;0;3101;0;400;0;0;0;0;0;0;Hidrológico;5000303
500031;FLOOD;Mutatá;12/10/2016;OVERFLOW;Desbordamiento del río Pulvarado;UNGRD;3202;0;0;0;3201;0;0;0;0;0;0;0;0;Hidrológico;5000313
500032;FLOOD;Chigorodó;12/10/2016;OVERFLOW;El río león con creciente súbita;UNGRD;3302;0;0;0;3301;0;3390;0;0;0;0;0;0;Hidrológico;5000323
500033;LANDSLIDE;Copacabana;11/10/2016;UNKNOWN;;UNGRD;3402;0;0;0;3401;0;50;0;0;0;0;0;0;Geofísico;5000333
500034;LANDSLIDE;Dabeiba;11/10/2016;RAIN;;UNGRD;3502;70;60;0;3501;20;0;0;10;10;0;10;0;Geofísico;5000343
500035;LANDSLIDE;Barbosa;11/10/2016;RAIN;;UNGRD;3602;0;0;0;3601;0;30;0;0;0;0;0;0;Geofísico;5000353
500036;FLOOD;La Ceja;4/10/2016;RAIN;En el río Pereira se ahogo una persona.;UNGRD;3702;10;0;0;3701;0;160;0;10;0;0;0;0;Hidrológico;5000363
500037;LANDSLIDE;Medellín;22/09/2016;RAIN;;UNGRD;3802;0;0;0;3801;0;0;0;0;0;0;0;0;Geofísico;5000373
500038;STRONGWIND;Hispania;20/09/2016;ATMOSPHCONDITION;;UNGRD;3902;0;0;0;3901;10;360;0;0;0;0;10;0;Atmosférico;5000383
500039;LANDSLIDE;Valdivia;19/09/2016;UNKNOWN;;UNGRD;4002;0;0;10;4001;0;0;0;0;0;10;0;0;Geofísico;5000393
500040;FIRE;Puerto Triunfo;19/09/2016;UNKNOWN;;UNGRD;4102;0;0;0;4101;0;0;0;0;0;0;0;0;Técnico;5000403
500041;STRONGWIND;Betulia;19/09/2016;ATMOSPHCONDITION;;UNGRD;4202;0;10;0;4201;0;100;0;0;10;0;0;0;Atmosférico;5000413
500042;LANDSLIDE;San Carlos;15/09/2016;UNKNOWN;;UNGRD;4302;0;10;10;4301;30;70;0;0;10;10;10;0;Geofísico;5000423
500043;FLOOD;La Estrella;14/09/2016;OVERFLOW;Desbordamiento del río Medellín a causa de las lluvias;UNGRD;4402;0;0;0;4401;0;350;0;0;0;0;0;0;Hidrológico;5000433
500044;FIRE;Envigado;12/09/2016;UNKNOWN;;UNGRD;4502;0;0;0;4501;0;0;0;0;0;0;0;0;Técnico;5000443
500045;LANDSLIDE;Yolombó;11/09/2016;RAIN;;UNGRD;4602;0;0;0;4601;0;30;0;0;0;0;0;0;Geofísico;5000453
500046;FLOOD;San Roque;11/09/2016;UNKNOWN;;UNGRD;4702;0;0;0;4701;30;1750;0;0;0;0;10;0;Hidrológico;5000463
500047;FIRE;Medellín;9/09/2016;UNKNOWN;;UNGRD;4802;30;10;0;4801;120;80;0;10;10;0;10;0;Técnico;5000473
500048;STRUCTURE;Medellín;6/09/2016;UNKNOWN;;UNGRD;4902;0;20;0;4901;0;0;0;0;10;0;0;0;Técnico;5000483
500049;POLLUTION;Puerto Triunfo;5/09/2016;UNKNOWN;;UNGRD;5002;0;0;0;5001;0;0;0;0;0;0;0;0;Atmosférico;5000493
500050;STRONGWIND;Uramita;3/09/2016;ATMOSPHCONDITION;;UNGRD;5102;0;0;0;5101;0;0;0;0;0;0;0;0;Atmosférico;5000503
500051;STRONGWIND;Zaragoza;2/09/2016;ATMOSPHCONDITION;;UNGRD;5202;0;0;0;5201;0;0;0;0;0;0;0;0;Atmosférico;5000513
500052;STRONGWIND;Caucasia;30/08/2016;ATMOSPHCONDITION;;UNGRD;5302;0;0;0;5301;0;1500;0;0;0;0;0;0;Atmosférico;5000523
500053;FLOOD;Apartadó;29/08/2016;RAIN;;UNGRD;5402;0;0;0;5401;0;370;0;0;0;0;0;0;Hidrológico;5000533
500054;FORESTFIRE;Ebéjico;27/08/2016;UNKNOWN;;UNGRD;5502;0;0;0;5501;10;0;0;0;0;0;10;10;Atmosférico;5000543
500055;LANDSLIDE;Medellín;26/08/2016;UNKNOWN;;UNGRD;5602;10;10;0;5601;0;0;0;10;10;0;0;0;Geofísico;5000553
500056;FLOOD;Yondó;25/08/2016;UNKNOWN;;UNGRD;5702;0;0;0;5701;0;970;0;0;0;0;0;0;Hidrológico;5000563
500057;STRONGWIND;Cáceres;23/08/2016;ATMOSPHCONDITION;;UNGRD;5802;0;0;0;5801;0;200;0;0;0;0;0;0;Atmosférico;5000573
500058;STRONGWIND;Medellín;18/08/2016;ATMOSPHCONDITION;;UNGRD;5902;0;0;0;5901;0;150;0;0;0;0;0;0;Atmosférico;5000583
500059;STRONGWIND;Bello;18/08/2016;ATMOSPHCONDITION;;UNGRD;6002;0;0;0;6001;0;20;0;0;0;0;0;0;Atmosférico;5000593
500060;STRONGWIND;Envigado;18/08/2016;ATMOSPHCONDITION;;UNGRD;6102;10;0;0;6101;0;0;0;10;0;0;0;0;Atmosférico;5000603
500061;STRONGWIND;San Luis;18/08/2016;ATMOSPHCONDITION;;UNGRD;6202;0;0;0;6201;0;0;0;0;0;0;0;0;Atmosférico;5000613
500062;STRONGWIND;El Santuario;18/08/2016;ATMOSPHCONDITION;;UNGRD;6302;0;0;0;6301;0;0;0;0;0;0;0;0;Atmosférico;5000623
500063;STRONGWIND;Santa Bárbara;18/08/2016;ATMOSPHCONDITION;;UNGRD;6402;0;0;0;6401;0;70;0;0;0;0;0;0;Atmosférico;5000633
500064;STRONGWIND;Alejandría;18/08/2016;ATMOSPHCONDITION;;UNGRD;6502;0;0;0;6501;0;700;0;0;0;0;0;0;Atmosférico;5000643
500065;FLOOD;Puerto Berrio;17/08/2016;UNKNOWN;;UNGRD;6602;0;0;0;6601;0;600;0;0;0;0;0;0;Hidrológico;5000653
500066;STRONGWIND;Anzá;13/08/2016;ATMOSPHCONDITION;;UNGRD;6702;0;0;0;6701;0;280;0;0;0;0;0;0;Atmosférico;5000663
500067;STRONGWIND;Yondó;12/08/2016;ATMOSPHCONDITION;;UNGRD;6802;0;0;0;6801;0;310;0;0;0;0;0;0;Atmosférico;5000673
500068;FORESTFIRE;Medellín;12/08/2016;UNKNOWN;;UNGRD;6902;0;0;0;6901;0;120;0;0;0;0;0;0;Atmosférico;5000683
500069;LANDSLIDE;Salgar;5/08/2016;UNKNOWN;;UNGRD;7002;0;0;0;7001;0;10;0;0;0;0;0;0;Geofísico;5000693
500070;STRONGWIND;Nechí;1/08/2016;ATMOSPHCONDITION;;UNGRD;7102;0;0;0;7101;0;10;0;0;0;0;0;0;Atmosférico;5000703
500071;STRONGWIND;Betania;1/08/2016;ATMOSPHCONDITION;;UNGRD;7202;0;0;0;7201;0;250;0;0;0;0;0;0;Atmosférico;5000713
500072;FIRE;La Ceja;31/07/2016;UNKNOWN;;UNGRD;7302;0;0;0;7301;0;0;0;0;0;0;0;0;Técnico;5000723
500073;STRONGWIND;Caucasia;28/07/2016;ATMOSPHCONDITION;;UNGRD;7402;0;0;0;7401;0;0;0;0;0;0;0;0;Atmosférico;5000733
500074;STRONGWIND;Salgar;27/07/2016;ATMOSPHCONDITION;;UNGRD;7502;0;0;0;7501;0;250;0;0;0;0;0;0;Atmosférico;5000743
500075;LANDSLIDE;Uramita;25/07/2016;UNKNOWN;;UNGRD;7602;0;0;0;7601;0;30;0;0;0;0;0;0;Geofísico;5000753
500076;FIRE;Necoclí;21/07/2016;UNKNOWN;;UNGRD;7702;0;0;0;7701;0;0;0;0;0;0;0;0;Técnico;5000763
500077;FIRE;Itaguí;20/07/2016;SHORTCIRCUIT;;UNGRD;7802;0;0;0;7801;0;0;0;0;0;0;0;0;Técnico;5000773
500078;FLOOD;Salgar;16/07/2016;OVERFLOW;"Desbordamientos de quebradas: Los Chorros; Los Henao y Cañad";UNGRD;7902;0;0;0;7901;70;310;0;0;0;0;10;0;Hidrológico;5000783
500079;FLOOD;Caucasia;16/07/2016;RAIN;;UNGRD;8002;0;0;0;8001;0;0;0;0;0;0;0;0;Hidrológico;5000793
500080;STRONGWIND;Betulia;14/07/2016;ATMOSPHCONDITION;;UNGRD;8102;0;0;0;8101;0;440;0;0;0;0;0;0;Atmosférico;5000803
500081;STRONGWIND;Nariño;13/07/2016;ATMOSPHCONDITION;;UNGRD;8202;0;0;0;8201;0;410;0;0;0;0;0;0;Atmosférico;5000813
500082;FORESTFIRE;Venecia;11/07/2016;UNKNOWN;;UNGRD;8302;0;0;0;8301;0;0;0;0;0;0;0;0;Atmosférico;5000823
500083;INTOXICACION;Rionegro;7/07/2016;UNKNOWN;;UNGRD;8402;0;80;0;8401;0;0;0;0;10;0;0;0;Técnico;5000833
500084;STRONGWIND;Necoclí;1/07/2016;ATMOSPHCONDITION;;UNGRD;8502;0;0;0;8501;0;1040;0;0;0;0;0;0;Atmosférico;5000843
500085;FORESTFIRE;Sonson;30/06/2016;UNKNOWN;;UNGRD;8602;0;0;0;8601;10;0;0;0;0;0;10;0;Atmosférico;5000853
500086;FORESTFIRE;Medellín;27/06/2016;UNKNOWN;;UNGRD;8702;0;0;0;8701;0;0;0;0;0;0;0;0;Atmosférico;5000863
500087;EXPLOSION;Bello;17/06/2016;UNKNOWN;;UNGRD;8802;20;30;0;8801;0;20;0;10;10;0;0;0;Técnico;5000873
